,IMO,LENGTH ,BREATH,DEPTH,DRAUGHT,TEU,LLINO
172,9618135,114.4,,15.15,8.21,606.0,10997118
173,9616840,204.33,32.3,19.0,12.64,1411.0,10997122
174,9618317,299.95,48.2,24.6,14.5,8800.0,10997273
175,9628348,266.0,,16.51,12.7,4335.0,10997276
176,9626558,172.1,27.35,13.5,9.52,1805.0,10997283
177,9624287,255.17,,19.5,13.02,4662.0,10997287
178,9628154,299.95,48.2,24.6,14.5,8800.0,10997292
179,9618290,300.13,,24.6,14.5,8800.0,10997300
180,9630406,337.0,48.2,27.2,15.7,10100.0,10997306
181,9626261,169.93,,14.2,9.5,1700.0,10997308
182,9619971,399.2,,30.3,16,18270.0,10997411
183,9618288,300.07,,24.6,14.5,8827.0,10997412
184,9619907,399.0,59.0,30.3,16,18270.0,10997415
185,9619957,399.2,59.0,30.3,16,18270.0,10997435
186,9613020,366.52,,29.85,15.5,13167.0,10997447
187,9622215,333.2,48.2,26.8,14.5,9669.0,10997459
188,9625528,255.4,37.4,22.1,13.5,5023.0,10997500
189,9629445,270.9,,20.24,14.57,6622.0,10997526
190,9626431,222.0,,16.8,12,2800.0,10997530
191,9616852,222.0,30.0,16.8,12,2800.0,10997531
192,9625384,254.73,,19.6,12.5,4800.0,10997541
193,9629380,270.9,,20.24,14.57,6622.0,10997544
194,9620607,227.87,,19.6,13.5,3868.0,10997545
195,9629081,334.8,45.8,24.6,14.19,8508.0,10997548
196,9627980,366.47,48.2,29.8,14,13208.0,10997553
197,9615339,142.7,,11.2,8.21,953.0,10997555
198,9618264,300.01,48.2,24.6,14.5,8800.0,10997710
199,9616802,222.0,,16.8,12,2800.0,10997711
200,9629067,334.8,,24.6,13.5,8508.0,10997721
201,9619476,299.18,,24.8,14.52,8762.0,10997735
202,9628336,266.0,,19.3,12.7,4335.0,10997737
203,9622239,333.2,,26.8,14,9669.0,10997761
204,9619440,299.18,,24.8,14.52,8762.0,10997764
205,9623855,250.0,,19.6,12.5,4800.0,10997769
206,9620619,227.9,,19.6,12.5,3868.0,10997770
207,9630389,337.0,48.3,27.2,15.22,10100.0,10997775
208,9627992,366.47,48.2,29.8,14,13200.0,10997780
209,9626247,169.95,,14.2,9.5,1700.0,10997781
